,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p,1.7062,0.0828,1.5466,1.8554,0.0024,0.0019,1255.4869,1509.4898,1.0021
q,3.9701,0.168,3.6719,4.2907,0.0047,0.0033,1301.7015,1542.695,1.002
v,681.208,58.4782,573.3317,792.9121,1.7325,1.4366,1125.8579,1266.4358,1.0024
