bin,n_customers,mean_predicted,mean_actual,abs_error,pct_error
1,1946,0.34674698475794874,0.7672147995889003,0.4204678148309515,54.8
2,316,0.6295471612554516,1.1835443037974684,0.5539971425420168,46.8
3,816,0.7889912952335479,1.7401960784313726,0.9512047831978246,54.7
4,437,0.9443207418831773,2.425629290617849,1.4813085487346718,61.1
5,445,1.0492452687590859,5.442696629213483,4.393451360454397,80.7
6,338,1.1541697956349943,6.680473372781065,5.52630357714607,82.7
7,224,1.2590943225109033,12.116071428571429,10.856977106060526,89.6
