bin,n_customers,mean_predicted,mean_actual,abs_error,pct_error
1,453,0.3975328457866684,0.3973509933774834,0.00018185240918500156,0.0
2,452,0.6187304019461787,0.6061946902654868,0.012535711680691897,2.1
3,452,0.883629467089812,0.8606194690265486,0.023009998063263426,2.7
4,452,1.1007123739896072,0.8207964601769911,0.27991591381261605,34.1
5,452,1.4188559804923828,1.157079646017699,0.26177633447468374,22.6
6,452,1.902894411970969,1.5508849557522124,0.35200945621875657,22.7
7,452,2.430946482872653,1.926991150442478,0.5039553324301751,26.2
8,452,3.1700802948453735,2.6084070796460175,0.561673215199356,21.5
9,452,4.55339772729195,4.017699115044247,0.5356986122477023,13.3
10,453,11.3602750398727,12.002207505518763,0.6419324656460628,5.3
