,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r,0.6511,0.019,0.6148,0.6868,0.0004,0.0003,2043.2156,1968.1341,1.0014
alpha,7.1221,0.2719,6.6222,7.6431,0.0061,0.0049,2013.9536,1982.8248,1.0011
a,0.2155,0.0419,0.138,0.2923,0.0009,0.0007,1975.5372,2219.1763,1.0005
b,4.473,1.2005,2.4911,6.784,0.0277,0.0234,1922.5518,2016.3214,1.0008
