model,accuracy,precision,recall,f1,auc_roc,auc_pr,brier
BG/NBD (Bayesian),0.7292835919445362,0.7337504344803615,0.9750577367205543,0.8373661245537485,0.7105038063467625,0.8676932921278346,0.20708315390069812
Hierarchical BG/NBD,0.7286233080224497,0.7335652173913043,0.9741339491916859,0.8369047619047619,0.7089497262851766,0.8670557216237453,0.20725810711678944
