country,n_customers,MAE_BG/NBD (Bayesian),MAE_Hierarchical BG/NBD,MAE_Naive (mean),MAE_RFM Heuristic,MAE_XGBoost (two-stage)
United Kingdom,4152,1.7414170197225567,1.7410935213197816,3.0785554999314773,2.290849827609317,2.1136988667853767
Other,242,1.6946373232987915,1.6525478873428654,3.617939232345415,2.4987442714914696,2.0566569790859854
Germany,74,1.6216153530078519,1.6348648137582296,3.1363542662783566,3.0314278494890683,2.365648355032947
France,54,2.222581355576753,2.3184357246918146,3.5293391949857096,3.5863693287804987,2.328740777792754
